,이름,주소
351,광주터미널점,광주 서구 무진대로 904 유스퀘어 2층(지번) 광천동 49-1
352,광주봉선점,광주 남구 봉선로 180 대광빌딩 1층(지번) 봉선동 107-17
353,경산진량DT점,경북 경산시 진량읍 다문로 53(지번) 진량읍 신상리 685-18
354,호남대점,광주 광산구 어등대로 418-1 1층(지번) 선암동 764
355,대구신서혁신도시DT점,대구 동구 이노밸리로 277(지번) 신서동 1138-1
356,대구월촌역FS점,대구 달서구 월배로 320(지번) 송현동 1944-1
357,광주운암점,광주 북구 북문대로 101(지번) 운암동 352-11
358,반야월이마트점,대구 동구 안심로 389-2 1층(지번) 신서동 520-1
359,대구성서이마트점,대구 달서구 이곡동로 24(지번) 이곡동 1254-2
360,대구대점,경북 경산시 진량읍 대구대로 201 동편학생복지관 1층(지번) 진량읍 내리리 15
361,삼성라이온즈파크점,대구 수성구 야구전설로 1(지번) 연호동 648
362,나주빛가람점,전남 나주시 전력로 2 이화프라자 1층(지번) 빛가람동 189-2
363,포항버스터미널점,경북 포항시 남구 중흥로 96(지번) 상도동 609-1
364,대구연경점,대구 북구 동화천로 229(지번) 연경동 962-1
365,경주터미널FS점,경북 경주시 강변로 158-3(지번) 사정동 488-1
366,포항법원앞DT점,경북 포항시 북구 신덕로 257(지번) 장성동 1370-8
367,진주평거점,경남 진주시 진양호로 221(지번) 평거동 1137
368,포항철강단지SK점,경북 포항시 남구 동해안로 6303(지번) 동촌동 1011-1
369,진주혁신도시점,경남 진주시 사들로 97(지번) 충무공동 279-6
370,경주용강DT점,경북 경주시 산업로 4494(지번) 용강동 427-1
371,순천법원점,전남 순천시 왕지로 8-1 반석빌딩 1층(지번) 왕지동 863-9
372,포항두호DT점,경북 포항시 북구 두호로 39 1층(지번) 두호동 1053-4
373,진주경상대점,경남 진주시 진주대로 540 JS현서빌딩 1층 102호(지번) 가좌동 478-6
374,경주보문점,경북 경주시 엑스포로 80 미탐시티 1층(지번) 천군동 157-3
375,마산회원FS점,경남 창원시 마산회원구 3.15대로 522(지번) 회원동 43-2
376,창원광장점,경남 창원시 성산구 용지로133번길 3(지번) 중앙동 89-5
377,전남도청점,"전남 무안군 삼향읍 남악3로 71 더트리폴리앙 1층 112,113호(지번) 삼향읍 남악리 2104"
378,목포하당점,전남 목포시 비파로 50 1층(지번) 상동 1000-6
379,경남사천점,경남 사천시 사천읍 옥산로 30(지번) 사천읍 수석리 285-7
380,창원상남FS점,경남 창원시 성산구 마디미로3번길 18(지번) 상남동 3-2
381,광양중동점,전남 광양시 중마중앙로 65(지번) 중동 1638-4
382,마산내서삼계SK점,경남 창원시 마산회원구 내서읍 경남대로 941(지번) 내서읍 삼계리 24-8
383,광양LF스퀘어점,전남 광양시 광양읍 순광로 466(지번) 광양읍 덕례리 1834
384,포항공대점,경북 포항시 남구 청암로 77 지곡회관 1층(지번) 지곡동 151-2
385,울산신정FS점,울산 남구 봉월로 97(지번) 신정동 1336-10
386,울산북구청DT점,울산 북구 안기번득길 23(지번) 화봉동 982-8
387,울산우정SK점,울산 중구 북부순환도로 323(지번) 유곡동 480-8
388,양산물금DT점,경남 양산시 물금읍 황산로 372(지번) 물금읍 물금리 867-3
389,김해장유DT점,경남 김해시 반룡로 70(지번) 대청동 1107-4
390,울산무거점,울산 남구 대학로 157 1층(지번) 무거동 859-6
391,경남대점,경남 창원시 마산합포구 해안대로 6 1층(지번) 해운동 5-83
392,김해내외점,경남 김해시 함박로 102 오렌지타운상가 1층(지번) 외동 1249-4
393,부산화명점,부산 북구 화명대로 44(지번) 화명동 2277-3
394,부산연산RFS점,부산 연제구 중앙대로 1087(지번) 연산동 1287-4
395,부산태화점,부산 부산진구 서전로10번길 64(지번) 부전동 191-2
396,한동대점,경북 포항시 북구 흥해읍 남송리 3 복지관 2층
397,양산석산SK점,경남 양산시 동면 양산대로 414(지번) 동면 금산리 570-11
398,진해충무DT점,경남 창원시 진해구 충장로 103(지번) 여좌동 761-41
399,경남삼천포점,경남 사천시 주공로 41(지번) 벌리동 270-3
400,부산금정오일뱅크점,부산 금정구 중앙대로 1664(지번) 부곡동 243-8
401,울산호계DT점,울산 북구 산업로 1426(지번) 신천동 386-30
402,부산서부터미널점,부산 사상구 사상로 201 애플아울렛 별관B 지하1층(지번) 괘법동 534-1
403,부산대점,부산 금정구 금정로 66(지번) 장전동 311-3
404,동김해DT점,"경남 김해시 김해대로 2499 1,2층(지번) 삼정동 661-5"
405,울산성남점,울산 중구 만남의거리 15 성남센트럴파크클래시아오피스텔 1층(지번) 성남동 251-2
406,여수웅천점,전남 여수시 예울마루로 37-15 1층(지번) 웅천동 1696-2
407,울산옥동점,울산 남구 문수로 326(지번) 옥동 252-6
408,부산안락DT점,부산 동래구 충렬대로 311(지번) 안락동 1044-31
409,부산센텀오일뱅크점,부산 해운대구 해운대로 179(지번) 재송동 367-1
410,부산양정점,부산 부산진구 중앙대로 900(지번) 양정동 353-12
411,김해삼계점,경남 김해시 가야로 178(지번) 삼계동 1479-8
412,부산괴정역점,부산 사하구 사하로 200 형지빌딩 1층(지번) 괴정동 966-1
413,진해자은DT점,경남 창원시 진해구 진해대로 940(지번) 자은동 842-5
414,부산정관DT점,부산 기장군 정관읍 용수로 48(지번) 정관읍 용수리 708-1
415,김해아이스퀘어몰점,경남 김해시 김해대로 2352(지번) 부원동 1046
416,양산웅상DT점,경남 양산시 웅상대로 1204(지번) 명동 781-34
417,부산주례점,부산 사상구 가야대로 298(지번) 주례동 1163-31
418,부산대연GS점,부산 남구 수영로 288(지번) 대연동 74-17
419,부산서면일번가점,부산 부산진구 서면로 48 1층(지번) 부전동 242-3
420,울산동구오일뱅크점,울산 동구 방어진순환도로 1023(지번) 서부동 279-4
421,해운대우동점,부산 해운대구 해운대로452번길 16(지번) 우동 1005-17
422,부산망미SK점,부산 연제구 과정로 120(지번) 연산동 489-14
423,부산용호분포SK점,부산 남구 용호로 116(지번) 용호동 369-25
424,부산센텀시티점,부산 해운대구 센텀동로 25 103동 1층(지번) 우동 1488
425,인제대점,경남 김해시 인제로 197 약학관 1층(지번) 어방동 607
426,해운대비치점,부산 해운대구 구남로 27(지번) 중동 1383-14
427,부산하단역점,부산 사하구 낙동남로 1427(지번) 하단동 528-11
428,명지DT점,부산 강서구 명지국제6로 218(지번) 명지동 3459
429,해운대신도시1점,부산 해운대구 좌동순환로 310(지번) 좌동 1327-6
430,거제고현점,경남 거제시 서문로5길 6 우형빌딩 1층(지번) 고현동 970-2
431,부산사직점,부산 동래구 사직로 58(지번) 사직동 89-10
432,제주이마트점,제주특별자치도 제주시 1100로 3348 1층(지번) 노형동 919-1
433,거제옥포점,경남 거제시 옥포로 161 1층(지번) 옥포동 552-22
434,거제수월점,경남 거제시 수양로 471 동학빌딩 101호(지번) 양정동 962-1
435,부산오시리아점,부산 기장군 기장읍 시랑리 산 48-1 A동 2층 202호
436,부산개금점,부산 부산진구 가야대로 484-1(지번) 개금동 171-12
437,부산명지DT점,부산 강서구 명지국제6로 218(지번) 명지동 3459
438,공중전화 1호선 부평역 1층 버거킹옆,인천 부평구 부평동 738-21
439,공중전화 노브랜드버거킹앞,서울 중구 무교동 44-1
440,공중전화 버거킹청담점 코코스,서울 강남구 선릉로 812(지번) 청담동 85-5
441,쏘카존 충남대병원DT점 앞,세종특별자치시 한누리대로 587(지번) 도담동 656
442,버킹검노래주점,경북 경산시 경산로44길 3-13(지번) 옥산동 728-2
443,공중전화 버거킹앞,대구 남구 대명동 1623-20
444,그린존 경주터미널 옆 버거킹,경북 경주시 사정동 488-6
445,그린존 목포하당점 옆,전남 목포시 상동 1000-5
446,공중전화 버거킹신정점 (구)신정1파출소,울산 남구 신정동 1336-10
447,공중전화 버거킹신정점 (구)신정1파출소,울산 남구 신정동 1336-10
